# Produced from Neptec List: data/FC3Pit17S0.5mmX0.5mmRaw.csv
# Units: um
# x interval: 0.004963
# y interval: 0.004935
# rows: 100
# columns: 100
# vertical resolution: 0.100000
# 
# x, y, z
5900.00000000,5760.00000000,5964.70000000
5905.00000000,5760.00000000,5972.50000000
5910.00000000,5760.00000000,5963.90000000
5915.00000000,5760.00000000,5929.40000000
5920.00000000,5760.00000000,5934.90000000
5925.00000000,5760.00000000,5929.70000000
5930.00000000,5760.00000000,5905.60000000
5935.00000000,5760.00000000,5901.80000000
5940.00000000,5760.00000000,5900.70000000
5945.10000000,5760.00000000,5912.80000000
5950.10000000,5760.00000000,5945.20000000
5955.10000000,5760.00000000,5982.60000000
5960.10000000,5760.00000000,5998.20000000
5965.10000000,5760.00000000,6008.50000000
5970.10000000,5760.00000000,6005.60000000
5975.10000000,5760.00000000,5966.00000000
5980.10000000,5760.00000000,5954.90000000
5985.10000000,5760.00000000,5951.70000000
5990.10000000,5760.00000000,5934.60000000
5995.10000000,5760.00000000,5942.90000000
6000.10000000,5760.00000000,5946.90000000
6005.20000000,5760.00000000,5932.70000000
6010.20000000,5760.00000000,5923.10000000
6015.20000000,5760.00000000,5934.10000000
6020.20000000,5760.00000000,5936.00000000
6025.20000000,5760.00000000,5939.60000000
6030.20000000,5760.00000000,5921.20000000
6035.20000000,5760.00000000,5875.00000000
6040.30000000,5760.00000000,5876.20000000
6045.30000000,5760.00000000,5910.20000000
6050.30000000,5760.00000000,5909.10000000
6055.30000000,5760.00000000,5906.10000000
6060.30000000,5760.00000000,5894.00000000
6065.30000000,5760.00000000,5877.60000000
6070.30000000,5760.00000000,5923.10000000
6075.30000000,5760.00000000,5954.60000000
6080.30000000,5760.00000000,5947.20000000
6085.40000000,5760.00000000,5934.00000000
6090.40000000,5760.00000000,5938.40000000
6095.40000000,5760.00000000,5965.50000000
6100.40000000,5760.00000000,5994.10000000
6105.40000000,5760.00000000,6004.10000000
6110.40000000,5760.00000000,5983.30000000
6115.40000000,5760.00000000,5931.80000000
6120.50000000,5760.00000000,5931.90000000
6125.50000000,5760.00000000,5940.20000000
6130.50000000,5760.00000000,5946.40000000
6135.50000000,5760.00000000,5979.60000000
6140.50000000,5760.00000000,6018.40000000
6145.50000000,5760.00000000,6023.90000000
6150.50000000,5760.00000000,5943.80000000
6155.50000000,5760.00000000,5937.00000000
6160.50000000,5760.00000000,5961.20000000
6165.50000000,5760.00000000,5962.50000000
6170.50000000,5760.00000000,5941.50000000
6175.50000000,5760.00000000,5909.00000000
6180.50000000,5760.00000000,5902.30000000
6185.50000000,5760.00000000,5925.80000000
6190.50000000,5760.00000000,5925.10000000
6195.50000000,5760.00000000,5908.10000000
6200.60000000,5760.00000000,5912.40000000
6205.60000000,5760.00000000,5942.90000000
6210.60000000,5760.00000000,5935.50000000
6215.60000000,5760.00000000,5911.00000000
6220.60000000,5760.00000000,5927.80000000
6225.60000000,5760.00000000,5974.70000000
6230.60000000,5760.00000000,5930.10000000
6235.60000000,5760.00000000,5870.10000000
6240.60000000,5760.00000000,5900.50000000
6245.70000000,5760.00000000,5878.90000000
6250.60000000,5760.00000000,5836.90000000
6255.70000000,5760.00000000,5879.00000000
6260.70000000,5760.00000000,5908.10000000
6265.70000000,5760.00000000,5905.50000000
6270.70000000,5760.00000000,5939.90000000
6275.70000000,5760.00000000,5992.70000000
6280.70000000,5760.00000000,6010.80000000
6285.70000000,5760.00000000,6026.10000000
6290.70000000,5760.00000000,6047.50000000
6295.70000000,5760.00000000,6022.00000000
6300.70000000,5760.00000000,5949.40000000
6305.70000000,5760.00000000,5939.90000000
6310.80000000,5760.00000000,5951.90000000
6315.80000000,5760.00000000,5975.00000000
6320.80000000,5760.00000000,6003.60000000
6325.80000000,5760.00000000,5995.20000000
6330.80000000,5760.00000000,5941.90000000
6335.80000000,5760.00000000,5917.50000000
6340.80000000,5760.00000000,5932.90000000
6345.80000000,5760.00000000,5940.80000000
6350.80000000,5760.00000000,5921.90000000
6355.80000000,5760.00000000,5928.70000000
6360.90000000,5760.00000000,5951.30000000
6365.90000000,5760.00000000,5959.40000000
6370.90000000,5760.00000000,5921.60000000
6375.90000000,5760.00000000,5925.40000000
6380.90000000,5760.00000000,5959.40000000
6385.90000000,5760.00000000,5931.70000000
6390.90000000,5760.00000000,5931.60000000
6396.00000000,5760.00000000,5951.50000000
5900.00000000,5765.00000000,5938.50000000
5905.00000000,5765.00000000,5953.80000000
5910.00000000,5765.00000000,5964.00000000
5915.00000000,5765.00000000,5950.70000000
5920.00000000,5765.00000000,5940.00000000
5925.00000000,5765.00000000,5946.90000000
5930.00000000,5765.00000000,5922.30000000
5935.00000000,5765.00000000,5909.30000000
5940.00000000,5765.00000000,5903.20000000
5945.10000000,5765.00000000,5910.20000000
5950.10000000,5765.00000000,5945.30000000
5955.00000000,5765.00000000,5985.10000000
5960.10000000,5765.00000000,6005.10000000
5965.10000000,5765.00000000,6012.40000000
5970.10000000,5765.00000000,6019.50000000
5975.10000000,5765.00000000,5990.80000000
5980.10000000,5765.00000000,5961.40000000
5985.10000000,5765.00000000,5945.20000000
5990.10000000,5765.00000000,5921.30000000
5995.20000000,5765.00000000,5935.00000000
6000.20000000,5765.00000000,5951.10000000
6005.20000000,5765.00000000,5938.20000000
6010.20000000,5765.00000000,5920.40000000
6015.20000000,5765.00000000,5929.40000000
6020.20000000,5765.00000000,5932.50000000
6025.20000000,5765.00000000,5935.40000000
6030.30000000,5765.00000000,5908.90000000
6035.30000000,5765.00000000,5887.60000000
